date,pair,pool_address,tvl_usd,volume_usd,fees_usd,vol_per_tvl_pct,fees_per_tvl_pct,fees_per_vol_pct
2026-01-19,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1876883.68,2376551.9,576.7153,126.6222,0.030727,0.024267
2026-01-19,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3103771.17,4223699.61,589.5109,136.0828,0.018993,0.013957
2026-01-19,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,518628.85,164719.43,401.4838,31.7606,0.077413,0.243738
2026-01-20,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1330585.1,1847183.23,550.8286,138.8249,0.041397,0.02982
2026-01-20,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,683489.03,99524.44,298.5733,14.5612,0.043684,0.3
2026-01-20,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1861546.26,3397067.07,1019.1201,182.4863,0.054746,0.03
2026-01-20,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,2910426.25,5496026.8,1068.3365,188.8392,0.036707,0.019438
2026-01-20,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,481662.02,137279.74,343.0393,28.5013,0.07122,0.249883
2026-01-21,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1484714.67,3436328.55,1030.8986,231.4471,0.069434,0.03
2026-01-21,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,685631.19,606517.14,1820.0286,88.4611,0.265453,0.300079
2026-01-21,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1849410.12,4173331.65,1251.9995,225.6574,0.067697,0.03
2026-01-21,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3010035.4,5049673.83,1514.9021,167.7613,0.050328,0.03
2026-01-21,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,493084.95,53183.38,132.9585,10.7858,0.026965,0.25
2026-01-22,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1745066.29,2631386.81,592.467,150.7901,0.033951,0.022515
2026-01-22,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,708109.05,319074.9,957.2247,45.0601,0.13518,0.3
2026-01-22,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,2046291.51,2802106.33,840.6319,136.9358,0.041081,0.03
2026-01-22,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3396327.61,4699527.62,1039.6013,138.3709,0.03061,0.022121
2026-01-22,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,476481.74,39604.45,77.9853,8.3119,0.016367,0.196911
2026-01-23,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1799488.01,2966418.75,308.6172,164.8479,0.01715,0.010404
2026-01-23,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,806857.38,257926.39,773.3465,31.9668,0.095847,0.299832
2026-01-23,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1985664.27,2275748.37,676.0091,114.6089,0.034044,0.029705
2026-01-23,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3362720.05,4132224.62,879.5167,122.8834,0.026155,0.021284
2026-01-23,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,476027.67,64701.61,34.0038,13.592,0.007143,0.052555
2026-01-24,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1812571.02,332696.58,34.843,18.355,0.001922,0.010473
2026-01-24,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,862052.32,99453.85,82.4728,11.5369,0.009567,0.082926
2026-01-24,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,2077067.3,732992.32,94.8988,35.2898,0.004569,0.012947
2026-01-24,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3376600.78,1862100.16,187.3372,55.1472,0.005548,0.010061
2026-01-24,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,476059.11,60215.78,30.6842,12.6488,0.006445,0.050957
2026-01-25,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1739973.87,1351126.36,219.9437,77.6521,0.012641,0.016279
2026-01-25,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,757874.29,338576.09,267.4668,44.6744,0.035292,0.078998
2026-01-25,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,2201261.53,2572117.75,441.4045,116.8474,0.020052,0.017161
2026-01-25,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3030310.45,4178681.32,460.145,137.8961,0.015185,0.011012
2026-01-25,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,455594.19,175461.4,90.6349,38.5127,0.019894,0.051655
2026-01-26,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1902061.19,2103671.62,599.5187,110.5996,0.031519,0.028499
2026-01-26,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,957676.97,309888.71,929.6661,32.3584,0.097075,0.3
2026-01-26,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,2273573.34,2906940.65,872.0822,127.8578,0.038357,0.03
2026-01-26,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3473453.64,4228656.82,1234.4019,121.7421,0.035538,0.029191
2026-01-26,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,469223.29,47283.74,92.8198,10.077,0.019782,0.196304
2026-01-27,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1701205.28,3313071.35,375.6384,194.7485,0.022081,0.011338
2026-01-27,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,986276.64,276415.07,812.5745,28.0261,0.082388,0.293969
2026-01-27,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1854126.17,2818083.35,843.5539,151.9898,0.045496,0.029934
2026-01-27,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3771734.19,4699914.35,749.7435,124.6088,0.019878,0.015952
2026-01-27,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,477489.03,73959.85,132.2187,15.4893,0.02769,0.178771
2026-01-28,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,2223087.48,4172686.88,1110.2843,187.6978,0.049943,0.026608
2026-01-28,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,971881.04,164816.15,494.4224,16.9585,0.050873,0.299984
2026-01-28,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,2359979.23,4638368.02,1391.5104,196.5427,0.058963,0.03
2026-01-28,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3743332.98,2706479.91,789.4315,72.3013,0.021089,0.029168
2026-01-28,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,473280.7,39643.89,118.8803,8.3764,0.025118,0.29987
2026-01-29,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1815449.63,3501238.93,987.7321,192.8579,0.054407,0.028211
2026-01-29,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,887486.22,382665.26,1140.6165,43.1179,0.128522,0.298072
2026-01-29,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,2140480.88,5424080.93,1624.7497,253.4048,0.075906,0.029954
2026-01-29,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,3637310.93,5771030.46,1189.0197,158.662,0.03269,0.020603
2026-01-29,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,434582.32,144685.9,293.9436,33.2931,0.067638,0.20316
2026-01-30,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1303560.2,5583107.14,1674.9321,428.2968,0.128489,0.03
2026-01-30,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,831228.95,434223.89,1303.4107,52.2388,0.156805,0.30017
2026-01-30,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1467649.31,6510876.88,1960.8591,443.6262,0.133605,0.030117
2026-01-30,WETH/cbBTC,0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,4252693.19,9442287.76,2210.8116,222.0308,0.051986,0.023414
2026-01-30,WETH/cbXRP,0xee58348059c9ad6ac345be79c399da0c200627ed,417522.0,147462.72,300.2657,35.3186,0.071916,0.203621
2026-01-31,USDC/cbBTC,0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,1247314.14,4041444.25,1206.7534,324.0117,0.096748,0.029859
2026-01-31,WETH/EURC,0xb20f018dde5a6fe7f93c31da05a5da9efbc52772,499211.94,424149.88,1274.8649,84.9639,0.255375,0.300569
2026-01-31,WETH/USDC,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,1403987.71,5520798.47,1674.1999,393.2227,0.119246,0.030325
