hydrex_epoch,aero_epoch,epoch_start,epoch_end,pair,pool_address,tvl_start_usd,tvl_end_usd,tvl_avg_usd,volume_usd,fees_usd,ohydx_distributed,hydx_price_at_report,incentives_usd,fees_tvl_pct,volume_tvl_pct,fees_volume_pct,tvl_per_incentive_usd,fees_per_incentive_usd
37,144,2026-05-28,2026-06-04,MAG7.ssi/USDC,0x88eaaa53405a6bf098bc38827f4642bcfd195256,2081.33,140.3,1110.82,516.55,1.57,4307.0005,0.04557,137.39,0.1413,46.5019,0.3039,8.09,0.0114
37,144,2026-05-28,2026-06-04,LFI/USDC,0x53ab4c60ff04b782f630a8685af95404f099aafd,5489.25,5636.31,5562.78,36238.69,435.38,17999.4556,0.04557,574.16,7.8267,651.4493,1.2014,9.69,0.7583
37,144,2026-05-28,2026-06-04,deSPXA/USDC,0xa3c25d3f65e11008465f477665cf2303a420cfb2,7318.85,264.48,3791.66,2073.8,0.83,4252.3408,0.04557,135.65,0.0219,54.6937,0.04,27.95,0.0061
37,144,2026-05-28,2026-06-04,AORA/USDC,0x7b5b9ac36bef2e808a02568704f651c607634c4b,1264.94,1280.31,1272.62,3738.54,44.69,8652.8317,0.04557,276.02,3.5116,293.766,1.1954,4.61,0.1619
37,144,2026-05-28,2026-06-04,DRB/WETH,0xa9a12101beddf0950c65c32a915ae21db002623d,1984.46,1457.75,1721.11,2769.04,30.54,8066.72,0.04557,257.32,1.7744,160.8873,1.1029,6.69,0.1187
37,144,2026-05-28,2026-06-04,DIEM/USDC,0xe6D1dABdDDb884c20C0eFF3c50FBa364e6C14399,92.67,2206.33,1149.5,10732.27,37.9,3973.2945,0.04557,126.74,3.2971,933.6468,0.3531,9.07,0.299
37,144,2026-05-28,2026-06-04,HOME/USDC,0x3343646E7d40099F1456405859F6c28A40423BbD,101.2,1074.81,588.0,28207.73,193.98,3973.2945,0.04557,126.74,32.9895,4797.1922,0.6877,4.64,1.5305
37,144,2026-05-28,2026-06-04,AUKI/USDC,0x3c709ea8105174964a45ca913dc948f2b7477b66,956.01,95.47,525.74,11.54,0.06,0.0,0.04557,0.0,0.0114,2.195,0.5199,0,0
37,144,2026-05-28,2026-06-04,FUN/WETH,0xbcbc4c1428632a176d4cbe0b7b891bf4ee6b3e09,1437.39,86.23,761.81,24.49,0.12,0.0,0.04557,0.0,0.0158,3.2147,0.49,0,0
37,144,2026-05-28,2026-06-04,OVPP/USDC,0x8857358a26254f8a1100434225495e633d496950,1232.36,96.7,664.53,14.49,0.08,0.0,0.04557,0.0,0.012,2.1805,0.5521,0,0
